name,club,birth_date,age,place_of_birth,citizenship,appointment_date,contract_until_date,coaching_licence,avg_term_as_coach,preffered_formation,current_league,current_league_country
Pep Guardiola,Man City,1971-01-18,50.0,Santpedor,Spain,2016-07-01,2023-06-30,SEG,3.38 Years,4-3-3 Attacking,Premier League,England
Ole Gunnar Solskjaer,Without Club,1973-02-26,48.0,Kristiansund,Norway,,,Jim Solbakken,2.05 Years,4-2-3-1,Premier League,England
Thomas Tuchel,Chelsea,1973-08-29,48.0,Krumbach,Germany,2021-01-26,2024-06-30,Dr. Olaf Meinking,2.28 Years,3-4-2-1,Premier League,England
Jürgen Klopp,Liverpool,1967-06-16,54.0,Stuttgart,Germany,2015-10-08,2024-06-30,UEFA Pro Licence,5.40 Years,4-3-3 Attacking,Premier League,England
Nuno Espírito Santo,Without Club,1974-01-25,47.0,São Tomé,Portugal,,,Gestifute,1.76 Years,3-4-3,Premier League,England
Brendan Rodgers,Leicester,1973-01-26,48.0,Carnlough,Northern Ireland,2019-02-27,2025-06-30,UEFA Pro Licence,2.02 Years,4-2-3-1,Premier League,England
Rafael Benítez,Everton,1960-04-16,61.0,Madrid,Spain,2021-07-01,2024-06-30,Manuel García ...,1.91 Years,4-2-3-1,Premier League,England
Dean Smith,Norwich,1971-03-19,50.0,West Bromwich,England,2021-11-15,2023-06-30,UEFA Pro Licence,2.75 Years,4-2-3-1,Premier League,England
Bruno Lage,Wolves,1976-05-12,45.0,Setúbal,Portugal,2021-07-01,2024-06-30,Gestifute,1.31 Years,5-4-1,Premier League,England
David Moyes,West Ham,1963-04-25,58.0,Glasgow,Scotland,2019-12-29,2024-06-30,UEFA Pro Licence,3.23 Years,4-2-3-1,Premier League,England
Marcelo Bielsa,Leeds,1955-07-21,66.0,Rosario,Argentina,2018-07-01,2022-06-30,UEFA Pro Licence,1.83 Years,4-1-4-1,Premier League,England
Graham Potter,Brighton,1975-05-20,46.0,Solihull,England,2019-05-20,2025-06-30,UEFA Pro Licence,3.65 Years,4-2-3-1,Premier League,England
Ralph Hasenhüttl,Southampton,1967-08-09,54.0,Graz,Austria,2018-12-06,2024-06-30,UEFA Pro Licence,2.09 Years,4-4-2 double 6,Premier League,England
Patrick Vieira,Crystal Palace,1976-06-23,45.0,Dakar,France,2021-07-04,2024-06-30,Sport Cover,2.06 Years,4-3-3 Attacking,Premier League,England
Graeme Jones,Newcastle,1970-03-13,51.0,Gateshead,England,2021-01-27,,UEFA Pro Licence,0.51 Years,4-3-1-2,Premier League,England
Thomas Frank,Brentford,1973-10-09,48.0,Frederiksværk,Denmark,2018-10-16,2023-06-30,Elite Consulting,2.11 Years,4-3-3 Attacking,Premier League,England
Daniel Farke,Without Club,1976-10-30,45.0,Steinhausen,Germany,,,UEFA Pro Licence,4.07 Years,4-2-3-1,Premier League,England
Claudio Ranieri,Watford,1951-10-20,70.0,Roma,Italy,2021-10-04,2023-06-30,Only4Stars,1.30 Years,4-4-1-1,Premier League,England
Mikel Arteta,Arsenal,1982-03-26,39.0,San Sebastián,Spain,2019-12-22,2023-06-30,-,2.05 Years,4-2-3-1,Premier League,England
Sean Dyche,Burnley,1971-06-28,50.0,Kettering,England,2012-10-30,2025-06-30,-,4.07 Years,4-4-2 double 6,Premier League,England
Simone Inzaghi,Inter,1976-04-05,45.0,Piacenza,Italy,2021-06-03,2023-06-30,UEFA Pro Licence,1.92 Years,3-5-2 flat,Serie A,Italy
Luciano Spalletti,SSC Napoli,1959-03-07,62.0,Certaldo,Italy,2021-07-01,2023-06-30,UEFA Pro Licence,1.44 Years,4-2-3-1,Serie A,Italy
Stefano Pioli,AC Milan,1965-10-20,56.0,Parma,Italy,2019-10-09,2023-06-30,GG11 s.r.l.,1.20 Years,4-2-3-1,Serie A,Italy
José Mourinho,AS Roma,1963-01-26,58.0,Setúbal,Portugal,2021-07-01,2024-06-30,Gestifute,1.79 Years,4-2-3-1,Serie A,Italy
Gian Piero Gasperini,Atalanta BC,1958-01-26,63.0,Grugliasco,Italy,2016-06-14,2024-06-30,GOAL CLUB,2.77 Years,3-4-2-1,Serie A,Italy
